Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Irene,Näslund,Åkergränd 044,Skellefteå,10656,Sverige,SE,19850520-5799,+46,+46 (0)8 090 877 01,1985-05-20,True
Matilda,Axelsson,Backvägen 2,Skellefteå,30123,Sverige,SE,19980702-7949,+46,0083-51 29 66,1998-07-02,True
Gun,Jönsson,Björkvägen 14,Sandviken,52302,Sverige,SE,19550619-3750,+46,08-202 471 37,1955-06-19,True
Maria,Nuutinen,Zaidanbulevardi 83,Heinola,02870,Finland,FI,19970511-309K,+358,+358 22 5617888,1997-05-11,True
Viola,Johansson,Björkgränd 410,Uddevalla,14125,Sverige,SE,19891125-3113,+46,0118-68 88 87,1989-11-25,True
Eli,Nilsen,Knudsenløkka 8,Ingerstad,2451,Norge,NO,19861130-0315,+47,+47 44 58 07 41,1986-11-30,True
Carolina,Melin,Storgatan 21,Varberg,41517,Sverige,SE,19980318-4679,+46,002-30 02 52,1998-03-18,True
Christopher,Stanley,Christian Burgs 45790,Campbellmouth,98927,Danmark,DK,19470202-2198,+45,+1-548-998-8234x023,1947-02-02,True
Mikko,Lehtonen,Tyynylaavanbulevardi 2,Toholampi,26519,Finland,FI,19581218-186N,+358,0765529231,1958-12-18,True
Märta,Kristiansson,Ekvägen 46,Linköping,18039,Sverige,SE,19580823-2963,+46,025-25 77 41,1958-08-23,True
David,Spencer,Mcconnell Mill 779,Sandytown,32432,Danmark,DK,19540702-4506,+45,554-298-0556x07798,1954-07-02,True
Martina,Nilsson,Parkstigen 3,Sundsvall,60792,Sverige,SE,19791217-4722,+46,033-83 24 23,1979-12-17,True
Emma,Johansson,Kvarnvägen 0,Norrköping,20793,Sverige,SE,19740122-2035,+46,08-975 66 66,1974-01-22,True
Adrian,Berntsen,Aastjernet 8,Haugen,1936,Norge,NO,19900414-2301,+47,01 05 22 69,1990-04-14,True
